Problem,Treatment pack,Ingredients,How_to
UnderEye_darkness,Coconut Eye Mask,Coconut oil,Massage a few drops of coconut oil under the eyes to get rid of under eye darkness circles. Do this every day before sleeping
UnderEye_darkness,Almond Eye Mask,Almond oil and Honey,Mix almond oil with honey and apply it each night to prevent dark circles and eye bags.
UnderEye_darkness,Rose Water Eye Mask,Rose water,Drench a cotton pad in pure rose water and then place it on your eyes for 15 minutes.
UnderEye_darkness,Milk and Baking Soda Eye Mask,"4 tablespoons of fresh whole milk, 2 tablespoons of baking soda",Mix well to make a smooth mixture which becomes a creamy mixture. Place it in the fridge and apply it on your eyes when chilled. Let it stay for 30 minutes and then wash it off with cold water.
UnderEye_darkness,Tea Bags as Eye Masks,Used tea bags,"Put some used tea bags in the refrigerator or wet them, use them, and then take those bags and put them in the fridge for 5 to 10 minutes. Then place them on your eyes for 10-15 minutes."
UnderEye_darkness,Cucumber Eye Mask,Cucumber,"Grate the cucumber and keep in the refrigerator for 30 minutes. Then spread it evenly on your eyes and keep it for 30 minutes. Now, wash it off with cold water."
Acne,Honey and Cinnamon Pack,"2 tablespoons of honey, 1 teaspoon of cinnamon powder","Mix the honey and cinnamon powder until you get a smooth paste. Apply the mixture to your face, avoiding the eye area. Leave it on for about 10-15 minutes before rinsing off with warm water."
Acne,Turmeric and Yogurt Pack,"1 teaspoon of turmeric powder, 2 tablespoons of plain yogurt.",Combine the turmeric powder with the yogurt to form a paste. Apply to the face and leave for about 20 minutes. Rinse with cool water.
Acne,Tea Tree Oil and Aloe Vera Pack,"A few drops of tea tree oil, 2 tablespoons of aloe vera gel",Mix the tea tree oil with the aloe vera gel. Apply the blend to the affected areas or the entire face and leave it on for about 20 minutes before rinsing.
Acne,Green Tea Honey Pack,"1 cooled green tea bag, 2 tablespoons of honey",Steep the green tea and let it cool. Cut open the tea bag and mix the leaves with honey to create a paste. Apply to your face for 15-20 minutes before rinsing off.
Acne,Oatmeal and Honey Pack,"3 tablespoons of ground oatmeal, 1 tablespoon of honey, a splash of water",Mix the ground oatmeal with honey and enough water to form a paste. Apply to the face for 15-20 minutes before washing off with warm water.
Acne,Activated Charcoal and Aloe Vera Pack,"1 capsule of activated charcoal, a generous amount of aloe vera gel","Open the activated charcoal capsule and mix the powder with aloe vera gel to create a paste. Apply to the face, let it sit for 10-15 minutes, and then rinse off."
Acne,Aloe Vera and Turmeric Face Pack,"1 tablespoon of aloe vera gel, a teaspoon of turmeric powder","Mix the aloe vera gel with turmeric powder until you have a consistent paste. Apply to the face, leave it on for 20 minutes, then rinse with cool water."
Acne,Honey and Lemon Face Pack,"2 tablespoons of honey, 1 tablespoon of fresh lemon juice","Combine the honey and lemon juice. Apply the mixture to your face, leave for 15-20 minutes, then rinse with warm water."
Acne,Turmeric and Honey Face Pack,"1 teaspoon of turmeric powder, 2 tablespoons of plain yogurt.",Blend the turmeric powder with honey to create a paste. Apply to the face for 15-20 minutes before washing off.
Pigmentations,Lemon juice and honey,"Fresh lime, Honey","squeeze some fresh lime and mix it with honey. You can add some sugar, prefer the fine one, and scrub your face using the paste. You can also keep the mixture on your face for 20-30 minutes and then wash it off."
